[14.735s][info][gc,phases    ] GC(21)   Evacuate Collection Set: 26.5ms
[14.735s][info][gc,phases    ] GC(21)   Post Evacuate Collection Set: 0.6ms
[14.735s][info][gc,phases    ] GC(21)   Other: 0.4ms
[14.735s][info][gc,heap      ] GC(21) Eden regions: 1144->0(1145)
[14.735s][info][gc,heap      ] GC(21) Survivor regions: 84->83(154)
[14.735s][info][gc,heap      ] GC(21) Old regions: 127->141
[14.735s][info][gc,heap      ] GC(21) Humongous regions: 89->37
[14.735s][info][gc,metaspace ] GC(21) Metaspace: 7318K(7680K)->7318K(7680K) NonClass: 6680K(6912K)->6680K(6912K) Class: 638K(768K)->638K(768K)
[14.735s][info][gc           ] GC(21) Pause Young (Normal) (G1 Evacuation Pause) 1442M->260M(2048M) 27.642ms
[14.735s][info][gc,cpu       ] GC(21) User=0.41s Sys=0.00s Real=0.03s
[15.864s][info][gc,start     ] GC(22) Pause Young (Normal) (G1 Evacuation Pause)
[15.864s][info][gc,task      ] GC(22) Using 13 workers of 13 for evacuation
[15.893s][info][gc,phases    ] GC(22)   Pre Evacuate Collection Set: 0.0ms
[15.893s][info][gc,phases    ] GC(22)   Evacuate Collection Set: 27.9ms
[15.893s][info][gc,phases    ] GC(22)   Post Evacuate Collection Set: 0.6ms
[15.893s][info][gc,phases    ] GC(22)   Other: 0.4ms
[15.893s][info][gc,heap      ] GC(22) Eden regions: 1145->0(1147)
[15.893s][info][gc,heap      ] GC(22) Survivor regions: 83->81(154)
[15.893s][info][gc,heap      ] GC(22) Old regions: 141->156
[15.893s][info][gc,heap      ] GC(22) Humongous regions: 80->37
[15.893s][info][gc,metaspace ] GC(22) Metaspace: 7318K(7680K)->7318K(7680K) NonClass: 6680K(6912K)->6680K(6912K) Class: 638K(768K)->638K(768K)
[15.893s][info][gc           ] GC(22) Pause Young (Normal) (G1 Evacuation Pause) 1448M->273M(2048M) 29.054ms
[15.893s][info][gc,cpu       ] GC(22) User=0.41s Sys=0.00s Real=0.03s
[16.965s][info][gc,start     ] GC(23) Pause Young (Normal) (G1 Evacuation Pause)
[16.965s][info][gc,task      ] GC(23) Using 13 workers of 13 for evacuation
[16.995s][info][gc,phases    ] GC(23)   Pre Evacuate Collection Set: 0.0ms
[16.995s][info][gc,phases    ] GC(23)   Evacuate Collection Set: 28.6ms
[16.995s][info][gc,phases    ] GC(23)   Post Evacuate Collection Set: 0.6ms
[16.995s][info][gc,phases    ] GC(23)   Other: 0.4ms
[16.995s][info][gc,heap      ] GC(23) Eden regions: 1147->0(1147)
[16.995s][info][gc,heap      ] GC(23) Survivor regions: 81->81(154)
[16.995s][info][gc,heap      ] GC(23) Old regions: 156->171
[16.995s][info][gc,heap      ] GC(23) Humongous regions: 76->37
[16.995s][info][gc,metaspace ] GC(23) Metaspace: 7318K(7680K)->7318K(7680K) NonClass: 6680K(6912K)->6680K(6912K) Class: 638K(768K)->638K(768K)
[16.995s][info][gc           ] GC(23) Pause Young (Normal) (G1 Evacuation Pause) 1459M->287M(2048M) 29.794ms
[16.995s][info][gc,cpu       ] GC(23) User=0.41s Sys=0.00s Real=0.03s
[18.087s][info][gc,start     ] GC(24) Pause Young (Normal) (G1 Evacuation Pause)
[18.087s][info][gc,task      ] GC(24) Using 13 workers of 13 for evacuation
[18.118s][info][gc,phases    ] GC(24)   Pre Evacuate Collection Set: 0.0ms
[18.118s][info][gc,phases    ] GC(24)   Evacuate Collection Set: 29.7ms
[18.118s][info][gc,phases    ] GC(24)   Post Evacuate Collection Set: 0.6ms
[18.118s][info][gc,phases    ] GC(24)   Other: 0.4ms
[18.118s][info][gc,heap      ] GC(24) Eden regions: 1147->0(1149)
[18.118s][info][gc,heap      ] GC(24) Survivor regions: 81->79(154)
