[1.758s][info][gc          ] GC(18) Pause Young (Normal) (G1 Evacuation Pause) 796M->139M(1190M) 9.799ms
[1.758s][info][gc,cpu      ] GC(18) User=0.02s Sys=0.00s Real=0.01s
[1.825s][info][gc,start    ] GC(19) Pause Young (Normal) (G1 Evacuation Pause)
[1.825s][info][gc,task     ] GC(19) Using 10 workers of 10 for evacuation
[1.834s][info][gc,phases   ] GC(19)   Pre Evacuate Collection Set: 0.2ms
[1.834s][info][gc,phases   ] GC(19)   Merge Heap Roots: 0.1ms
[1.834s][info][gc,phases   ] GC(19)   Evacuate Collection Set: 8.3ms
[1.834s][info][gc,phases   ] GC(19)   Post Evacuate Collection Set: 0.6ms
[1.834s][info][gc,phases   ] GC(19)   Other: 0.1ms
[1.834s][info][gc,heap     ] GC(19) Eden regions: 661->0(660)
[1.834s][info][gc,heap     ] GC(19) Survivor regions: 53->54(90)
[1.834s][info][gc,heap     ] GC(19) Old regions: 77->84
[1.834s][info][gc,heap     ] GC(19) Humongous regions: 14->11
[1.834s][info][gc,metaspace] GC(19) Metaspace: 1770K(1856K)->1770K(1856K) NonClass: 1629K(1664K)->1629K(1664K) Class: 140K(192K)->140K(192K)
[1.834s][info][gc          ] GC(19) Pause Young (Normal) (G1 Evacuation Pause) 803M->148M(1190M) 9.587ms
[1.834s][info][gc,cpu      ] GC(19) User=0.00s Sys=0.00s Real=0.01s
[1.897s][info][gc,start    ] GC(20) Pause Young (Normal) (G1 Evacuation Pause)
[1.897s][info][gc,task     ] GC(20) Using 10 workers of 10 for evacuation
[1.907s][info][gc,phases   ] GC(20)   Pre Evacuate Collection Set: 0.3ms
[1.907s][info][gc,phases   ] GC(20)   Merge Heap Roots: 0.1ms
[1.907s][info][gc,phases   ] GC(20)   Evacuate Collection Set: 8.2ms
[1.908s][info][gc,phases   ] GC(20)   Post Evacuate Collection Set: 1.3ms
[1.908s][info][gc,phases   ] GC(20)   Other: 0.1ms
[1.908s][info][gc,heap     ] GC(20) Eden regions: 660->0(738)
[1.908s][info][gc,heap     ] GC(20) Survivor regions: 54->48(90)
[1.908s][info][gc,heap     ] GC(20) Old regions: 84->98
[1.908s][info][gc,heap     ] GC(20) Humongous regions: 11->11
[1.908s][info][gc,metaspace] GC(20) Metaspace: 1771K(1856K)->1771K(1856K) NonClass: 1630K(1664K)->1630K(1664K) Class: 140K(192K)->140K(192K)
[1.908s][info][gc          ] GC(20) Pause Young (Normal) (G1 Evacuation Pause) 808M->155M(1310M) 10.365ms
[1.908s][info][gc,cpu      ] GC(20) User=0.00s Sys=0.00s Real=0.01s
[1.981s][info][gc,start    ] GC(21) Pause Young (Normal) (G1 Evacuation Pause)
[1.981s][info][gc,task     ] GC(21) Using 10 workers of 10 for evacuation
[1.989s][info][gc,phases   ] GC(21)   Pre Evacuate Collection Set: 0.2ms
[1.989s][info][gc,phases   ] GC(21)   Merge Heap Roots: 0.1ms
[1.989s][info][gc,phases   ] GC(21)   Evacuate Collection Set: 6.6ms
[1.989s][info][gc,phases   ] GC(21)   Post Evacuate Collection Set: 0.5ms
[1.989s][info][gc,phases   ] GC(21)   Other: 0.1ms
[1.989s][info][gc,heap     ] GC(21) Eden regions: 738->0(731)
[1.989s][info][gc,heap     ] GC(21) Survivor regions: 48->55(99)
[1.989s][info][gc,heap     ] GC(21) Old regions: 98->98
[1.989s][info][gc,heap     ] GC(21) Humongous regions: 13->11
[1.989s][info][gc,metaspace] GC(21) Metaspace: 1775K(1856K)->1775K(1856K) NonClass: 1635K(1664K)->1635K(1664K) Class: 140K(192K)->140K(192K)
[1.989s][info][gc          ] GC(21) Pause Young (Normal) (G1 Evacuation Pause) 895M->163M(1310M) 7.878ms
[1.989s][info][gc,cpu      ] GC(21) User=0.00s Sys=0.00s Real=0.01s
[2.059s][info][gc,start    ] GC(22) Pause Young (Normal) (G1 Evacuation Pause)
[2.059s][info][gc,task     ] GC(22) Using 10 workers of 10 for evacuation
