[2.451s][info][gc,cpu        ] GC(19) User=0.00s Sys=0.00s Real=0.00s
[2.452s][info][gc,marking    ] GC(19) Concurrent Cleanup for Next Mark
[2.452s][info][gc,marking    ] GC(19) Concurrent Cleanup for Next Mark 0.866ms
[2.452s][info][gc            ] GC(19) Concurrent Cycle 5.032ms
[2.458s][info][gc,start      ] GC(20) Pause Young (Concurrent Start) (G1 Humongous Allocation)
[2.458s][info][gc,task       ] GC(20) Using 13 workers of 13 for evacuation
[2.459s][info][gc,phases     ] GC(20)   Pre Evacuate Collection Set: 0.0ms
[2.459s][info][gc,phases     ] GC(20)   Evacuate Collection Set: 1.0ms
[2.459s][info][gc,phases     ] GC(20)   Post Evacuate Collection Set: 0.1ms
[2.459s][info][gc,phases     ] GC(20)   Other: 0.1ms
[2.459s][info][gc,heap       ] GC(20) Eden regions: 29->0(345)
[2.459s][info][gc,heap       ] GC(20) Survivor regions: 17->22(49)
[2.459s][info][gc,heap       ] GC(20) Old regions: 1043->1043
[2.459s][info][gc,heap       ] GC(20) Humongous regions: 80->78
[2.459s][info][gc,metaspace  ] GC(20) Metaspace: 6876K(7168K)->6876K(7168K) NonClass: 6286K(6400K)->6286K(6400K) Class: 589K(768K)->589K(768K)
[2.459s][info][gc            ] GC(20) Pause Young (Concurrent Start) (G1 Humongous Allocation) 1168M->1142M(2267M) 1.296ms
[2.459s][info][gc,cpu        ] GC(20) User=0.00s Sys=0.00s Real=0.00s
[2.459s][info][gc            ] GC(21) Concurrent Cycle
[2.459s][info][gc,marking    ] GC(21) Concurrent Clear Claimed Marks
[2.459s][info][gc,marking    ] GC(21) Concurrent Clear Claimed Marks 0.014ms
[2.459s][info][gc,marking    ] GC(21) Concurrent Scan Root Regions
[2.459s][info][gc,marking    ] GC(21) Concurrent Scan Root Regions 0.034ms
[2.459s][info][gc,marking    ] GC(21) Concurrent Mark (2.459s)
[2.459s][info][gc,marking    ] GC(21) Concurrent Mark From Roots
[2.459s][info][gc,task       ] GC(21) Using 3 workers of 3 for marking
[2.461s][info][gc,marking    ] GC(21) Concurrent Mark From Roots 1.731ms
[2.461s][info][gc,marking    ] GC(21) Concurrent Preclean
[2.461s][info][gc,marking    ] GC(21) Concurrent Preclean 0.078ms
[2.461s][info][gc,marking    ] GC(21) Concurrent Mark (2.459s, 2.461s) 1.858ms
[2.461s][info][gc,start      ] GC(21) Pause Remark
[2.462s][info][gc,stringtable] GC(21) Cleaned string and symbol table, strings: 2628 processed, 0 removed, symbols: 25756 processed, 0 removed
[2.462s][info][gc            ] GC(21) Pause Remark 1148M->1148M(2267M) 0.420ms
[2.462s][info][gc,cpu        ] GC(21) User=0.00s Sys=0.00s Real=0.00s
[2.462s][info][gc,marking    ] GC(21) Concurrent Rebuild Remembered Sets
[2.463s][info][gc,marking    ] GC(21) Concurrent Rebuild Remembered Sets 1.010ms
[2.463s][info][gc,start      ] GC(21) Pause Cleanup
[2.463s][info][gc            ] GC(21) Pause Cleanup 1150M->1150M(2267M) 0.206ms
[2.463s][info][gc,cpu        ] GC(21) User=0.00s Sys=0.00s Real=0.00s
[2.463s][info][gc,marking    ] GC(21) Concurrent Cleanup for Next Mark
[2.464s][info][gc,marking    ] GC(21) Concurrent Cleanup for Next Mark 0.820ms
[2.464s][info][gc            ] GC(21) Concurrent Cycle 4.671ms
[2.472s][info][gc,start      ] GC(22) Pause Young (Concurrent Start) (G1 Humongous Allocation)
